Soil Moisture,Temperature,Soil Humidity,Status
54,22,70,ON
12,20,40,OFF
34,26,35,ON
7,44,44,OFF
50,38,23,OFF
4,26,52,ON
15,34,58,ON
45,30,43,ON
47,4,42,OFF
19,41,22,ON
63,44,65,ON
88,34,41,ON
39,20,70,ON
65,43,44,OFF
50,27,50,ON
39,22,48,ON
18,33,44,ON
66,43,35,ON
68,25,59,ON
20,36,53,ON
40,17,35,ON
2,34,64,OFF
22,35,32,OFF
1,19,70,ON
5,23,27,ON
10,28,30,ON
25,13,66,ON
20,45,61,ON
40,29,39,OFF
26,13,70,ON
71,6,59,OFF
37,21,24,ON
76,12,47,OFF
44,24,45,ON
24,8,47,OFF
70,6,63,OFF
32,23,28,OFF
44,24,39,ON
4,45,49,ON
63,40,48,ON
49,29,55,ON
26,32,70,ON
58,32,38,OFF
45,0,69,OFF
37,7,32,ON
16,44,57,OFF
75,2,31,OFF
82,16,62,OFF
72,28,21,OFF
53,1,51,OFF
13,24,48,OFF
41,18,34,ON
53,2,30,OFF
76,14,48,OFF
9,36,37,OFF
66,1,56,OFF
12,16,25,OFF
29,10,67,ON
37,34,57,ON
8,28,67,ON
55,1,68,ON
9,1,32,OFF
41,27,23,ON
31,8,33,ON
80,38,52,OFF
7,27,59,OFF
13,4,41,ON
42,18,36,ON
72,21,26,OFF
21,33,21,ON
14,4,51,ON
16,19,51,ON
11,9,26,OFF
7,17,52,OFF
56,3,64,ON
42,19,55,ON
78,41,70,ON
16,37,48,ON
87,14,21,OFF
22,22,55,OFF
77,41,47,ON
45,31,65,ON
84,39,50,OFF
12,3,43,ON
17,40,57,ON
12,35,34,ON
6,40,44,OFF
21,4,48,ON
71,41,49,OFF
17,27,40,ON
67,24,31,OFF
34,24,63,OFF
68,13,57,OFF
52,3,35,OFF
80,18,24,OFF
11,11,29,ON
63,27,26,OFF
88,43,58,ON
79,21,58,OFF
2,37,30,ON
49,33,61,ON
64,27,58,OFF
71,36,25,ON
51,27,66,ON
67,26,60,OFF
12,0,63,OFF
67,3,44,OFF
54,31,49,ON
49,33,31,ON
24,29,34,ON
27,18,38,ON
50,35,20,ON
51,26,32,ON
38,26,34,ON
23,45,50,OFF
27,29,60,ON
72,39,21,ON
89,19,38,OFF
36,28,55,ON
4,5,45,ON
21,37,48,ON
8,37,58,OFF
